0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.9956804178944548,0.0020760782212697563,0.0,0.0,0.0,0.0001004553978033753,0.0001339405304045004,0.0,1.674256630056255e-05,0.0,0.0,0.0,0.00021765336190731314,0.0017747120278596303,0.0
1.4200107920820199e-05,0.9999289994603959,0.0,0.0,0.0,0.0,1.4200107920820199e-05,0.0,0.0,0.0,0.0,0.0,0.0,4.260032376246059e-05,0.0
0.0,0.0,0.9381227058206607,0.06187729417933928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.05296806294839158,0.9470319370516084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7228606378030082e-05,0.0003618007339386317,0.0,0.0,0.7729441965439415,0.22650448805196147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017228606378030082,0.0
0.0013916365372808515,0.002605907633535712,0.0,0.0,8.186097278122655e-05,0.9935466266457467,0.0,0.0,1.3643495463537758e-05,0.0,0.0,0.0,0.0002865134047342929,0.0020738113104577394,0.0
1.9715310910453057e-05,0.00011829186546271835,0.0,0.0,0.0,0.0,0.9997239856472536,0.0,5.914593273135917e-05,0.0,0.0,0.0,3.943062182090611e-05,3.943062182090611e-05,0.0
0.0,0.0002640064870165381,0.0,0.0,0.0,0.0,0.0,0.9995851326632598,0.0,0.0,0.0,0.0,9.428803107733504e-05,5.657281864640103e-05,0.0
3.8058991436726926e-05,0.0005899143672692674,0.0,0.0,0.0,0.0,0.0017126546146527116,0.0,0.6729019980970504,0.0,0.32430066603235014,0.0,9.514747859181732e-05,0.0003615604186489058,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
2.4180872929512754e-05,0.0002176278563656148,0.0,0.0,0.0,0.0,0.0,0.0,0.07106758553983798,0.0,0.9284971587474308,0.0,9.672349171805102e-05,9.672349171805102e-05,0.0
0.004727157360406091,0.004346446700507614,0.0,0.0,0.0044733502538071065,0.0044733502538071065,0.005298223350253807,0.00440989847715736,0.0005076142131979696,0.0,0.004187817258883249,0.9675126903553299,0.0,6.34517766497462e-05,0.0
0.0001273425727444447,0.0005305940531018528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9402975571449795,0.05904450622917418,0.0
0.0008662847561827582,0.0034651390247310327,0.0,0.0,0.0,8.383400866284756e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.1144613664943412,0.8811233757160821,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
