Model,Accuracy,F1_macro,Runtime_sec,Train_Timestamp
XGBoost,0.9455402855189396,0.9469703344140289,3393.72,2025-11-27 03:21:49
LightGBM,0.9346536132010418,0.9369855653247261,994.96,2025-11-27 02:01:37
RandomForest,0.933480909526131,0.9353357314370034,1416.54,2025-11-27 02:25:15
DecisionTree,0.9371556738507577,0.934535886533714,481.41,2025-11-27 03:29:51
LogisticRegression,0.9190351327966128,0.9205310896084706,234.92,2025-11-27 03:33:47
NaiveBayes,0.7494410990912644,0.707148423531671,6.89,2025-11-27 03:33:54
